network, alt, lat, lon, threshold, station
OKLMA_DC3, 339.09, 35.004, -97.907, -82.0, C_m
OKLMA_DC3, 420.11, 35.245, -98.075, -81.0, D 
OKLMA_DC3, 419.99, 35.478, -98.009, -84.0, E 
OKLMA_DC3, 390.30, 35.384, -97.621, -82.0, F_m
OKLMA_DC3, 382.30, 35.133, -97.519, -98.0, G
OKLMA_DC3, 341.93, 35.130, -97.959, -78.0, H 
OKLMA_DC3, 417.90, 35.279, -97.918, -82.0, I 
OKLMA_DC3, 414.68, 35.135, -97.726, -91.0, M 
OKLMA_DC3, 396.65, 35.256, -97.659, -82.0, N 
OKLMA_DC3, 393.99, 35.402, -97.601, -82.0, O_m 
OKLMA_DC3, 415.65, 35.362, -98.040, -82.0, W_m
OKLMA_DC3, 405.96, 35.440, -97.778, -76.0, Y 
OKLMA_DC3sw, 435.60, 34.697, -99.341, -80.0, A 
OKLMA_DC3sw, 447.40, 34.595, -99.494, -80.0, P 
OKLMA_DC3sw, 483.10, 34.859, -99.361, -80.0, U 
OKLMA_DC3sw, 509.60, 34.768, -99.539, -80.0, B 
OKLMA_DC3sw, 407.50, 34.520, -99.435, -80.0, O 
OKLMA_DC3sw, 492.90, 34.973, -99.449, -80.0, R 
OKLMA_DC3sw, 427.90, 34.712, -99.080, -80.0, Z 
COLMA_DC3, 1572.65, 40.594, -105.144, -86.5,  A_m
COLMA_DC3, 1475.31, 40.473, -104.317, -67.0,  B
COLMA_DC3, 1485.61, 40.634, -104.321, -86.5,  C_m
COLMA_DC3, 1670.07, 40.942, -104.039, -89.0,  D
COLMA_DC3, 1418.67, 40.443, -104.629, -86.5,  E_m
COLMA_DC3, 1435.53, 40.599, -103.800, -86.0,  F
COLMA_DC3, 1535.60, 40.442, -105.002, -86.0,  G
COLMA_DC3, 1609.99, 40.970, -104.291, -90.0,  H
COLMA_DC3, 1383.31, 40.224, -104.078, -82.0,  I
COLMA_DC3, 1613.00, 40.876, -103.898, -86.0,  J
COLMA_DC3, 1580.98, 40.686, -104.583, -90.0,  K
COLMA_DC3, 1658.26, 40.669, -104.938, -86.5,  L_m
COLMA_DC3, 1388.20, 40.341, -103.809, -86.5,  M_m
COLMA_DC3, 1671.33, 40.841, -104.763, -86.5,  N_m
COLMA_DC3, 1524.45, 40.069, -104.513, -87.0,  P
COLMA_DC3, 1678.69, 40.816, -104.057, -91.0,  R
NALMA_DC3, 218.60, 34.900, -86.558, -90.0,  A
NALMA_DC3, 288.10, 34.984, -86.839, -80.0,  B
NALMA_DC3, 174.40, 34.643, -86.771, -78.0,  C
NALMA_DC3, 240.30, 34.834, -87.027, -80.0,  D
NALMA_DC3, 465.20, 34.612, -86.520, -75.0,  E
NALMA_DC3, 213.70, 34.523, -86.968, -65.0,  F
NALMA_DC3, 486.50, 34.666, -86.359, -80.0,  G
NALMA_DC3, 507.40, 34.746, -86.513, -75.0,  H
NALMA_DC3, 229.90, 34.786, -86.825, -90.0,  I
NALMA_DC3, 198.30, 34.725, -86.644, -55.0,  K
NALMA_DC3, 543.80, 34.869, -86.297, -60.0,  J
NALMA_DC3, 225.00, 35.240, -86.416, -78.0,  L_m
NALMA_DC3, 305.23, 33.909, -84.525, -78.0,  M_m
NALMA_DC3, 260.93, 33.360, -84.568, -78.0,  N_m
WTLMA,  974.63,    33.751,  -101.666,   -84.2,  G
WTLMA, 1020.96,    33.965,  -101.815,   -88.2,  A 
WTLMA, 1002.30,    33.751,  -102.068,   -80.8,  B
WTLMA,  950.77,    33.674,  -101.530,   -74.0,  L
WTLMA,  994.01,    33.735,  -101.840,   -72.5,  N
WTLMA,  979.37,    33.872,  -101.605,   -77.5,  P
WTLMA,  944.02,    33.574,  -101.693,   -73.3,  R
WTLMA,  949.57,    33.469,  -101.783,   -84.5,  W 
WTLMA,  999.43,    33.594,  -102.034,   -86.7,  O
WTLMA,  995.11,    33.416,  -102.036,   -73.0,  H 
WTLMA,  988.94,    33.688,  -101.986,   -66.8,  Y
WTLMA,  969.11,    33.607,  -101.822,   -72.3,  E
